Business Name,Latitude,Longitude,Status,Category
Mukhzan Homoeo Clinic Dr. Afshan,24.9167733,67.07064,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Health homoeopathic clinic,24.9107029,67.0751575,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Dr Paras Shaikh,24.9043325,67.0716928,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Hu wash Shafi Clinic,24.9054731,67.0749435,CLOSED_TEMPORARILY,"doctor, health, point_of_interest, establishment"
Medi Clinic,24.917055,67.0760502,OPERATIONAL,"doctor, health, point_of_interest, establishment"
The public health and medical care clinic,24.9168587,67.0763491,OPERATIONAL,"hospital, doctor, health, point_of_interest, establishment"
Saleem medical center,24.912506,67.0783174,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Dr Rahat Naz,24.9107266,67.0795832,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Ayesha clinic۔ عائشہ کلینک,24.9107504,67.0796176,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Syed Clinic۔ سید کلینک,24.9103208,67.0797053,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Care and cure medical clinic,24.9138718,67.0789143,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Dua homeopathic clinic & store,24.9129367,67.0803127,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Dr. Farooq Bhayat Clinic,24.91054,67.08111,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Hakeem Danish Razi,24.9109471,67.0812964,OPERATIONAL,"doctor, health, point_of_interest, establishment"
M MEHMOOD UNANI DAWAKHANA,24.9145098,67.0799702,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Barkat Clinic and Dental Surgery,24.9143413,67.0807252,OPERATIONAL,"dentist, doctor, health, point_of_interest, establishment"
DR RAFI UDDIN DENTAL CLINIC,24.9165812,67.0779936,OPERATIONAL,"dentist, doctor, health, point_of_interest, establishment"
Naaz Clinic,24.9060176,67.0792701,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Kamal Homeo Clinic,24.9080312,67.081731,OPERATIONAL,"pharmacy, drugstore, doctor, health, store, point_of_interest, establishment"
Family care homeoclinic,24.9122132,67.0826888,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Friends Optical & Audiology Centre (Rashid Minhas Rd),24.9214051,67.0936786,OPERATIONAL,"doctor, health, store, point_of_interest, establishment"
Surgi care clinic,24.9195975,67.075684,OPERATIONAL,"doctor, health, point_of_interest, establishment"
NK consultant clinic,24.918859,67.0759198,OPERATIONAL,"physiotherapist, dentist, doctor, health, point_of_interest, establishment"
Dr mustafa care and cure medical center,24.9171251,67.0797264,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Junaid Chiropractic Care,24.9196875,67.0830625,OPERATIONAL,"physiotherapist, doctor, health, point_of_interest, establishment"
Burhan eye and poly clinic,24.9110316,67.0865153,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Dr. Mehrun Nissa Clinic,24.9108679,67.0862711,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Quick Pranic Healing Centre,24.9110882,67.0866317,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Tayyaba homeo clinic,24.9099153,67.0855267,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Dr Waseem Poly Clinic,24.9119053,67.0877733,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Doctor Waseem Allergy Clinic,24.9119354,67.087809,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Dr. Imran Yousuf,24.9096813,67.0852945,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Gulf Dental & Aesthetics - Gulshan-E-Iqbal Branch Karachi - Teeth Whitening - Scaling & Polishing - Dental Clinic in Karachi,24.9094438,67.0842279,OPERATIONAL,"dentist, doctor, health, point_of_interest, establishment"
Bhatti Dental Clinic | Best Dental Clinic in Karachi | Female Dentist in Karachi | Best Dentist in karachi,24.9124464,67.0892641,OPERATIONAL,"dentist, doctor, health, point_of_interest, establishment"
Dr. Afseen Khan clinic,24.9092566,67.0835,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Nayab Homeo Clinic,24.909077,67.0836504,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Azra & Consultant clinic,24.9092632,67.0825459,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Aqeel Foot Comfort Services,24.9207337,67.0950387,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Child Care Clinic - Dr Afzal Memon,24.9196875,67.0959375,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Al FATAH DENTAL CLINIC,24.9197993,67.0950506,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Doctors' Inn,24.9199601,67.0943747,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Dr. Abeer Dental Clinic,24.9189159,67.0951993,OPERATIONAL,"doctor, health, point_of_interest, establishment"
The Saeeds,24.9196393,67.093616,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Alsyeed Dawakhana and herbal medicine clinic and infertility center,24.9232282,67.0934277,OPERATIONAL,"doctor, health, point_of_interest, establishment"
RA dental clinic,24.9233497,67.0933868,OPERATIONAL,"doctor, health, point_of_interest, establishment"
HAROON OPTICAL,24.9220964,67.0926221,OPERATIONAL,"doctor, health, point_of_interest, establishment"
