Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category,,,,name,id,cmp_customer_id
ChIJExnK35c9sz4RIuAca7aF04Y,,Dr. Ahmed Abdullah's Clinic,24.8165092,67.0223738,OPERATIONAL,"hospital, point_of_interest, doctor, health, establishment",#N/A,,,DR. FAREEDA ZAHID,2393,191-7803
ChIJ24gbQr09sz4RFhGu4aeG748,,Welfare Society for Patient Care,24.816241,67.0222615,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,HAMEED SONS,2394,191-13513
ChIJDRoY35c9sz4RSugc2z-B4cE,,North Carolina Dental Practice Rahman And Rahman Dental Surgeons Karachi,24.8164323,67.0224193,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,MADINA ENTERPRISES (MR KHURAM),2395,191-8769
ChIJ3ewd3pc9sz4RFC0MqvtNNAg,,Clifton Kidney & General Hospital - Dialysis Center,24.8175003,67.022963,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,KAUSER MEDICOS,2396,191-6291
ChIJz4WcCJg9sz4RqNPnTbZeips,,South City Hospital,24.8142431,67.0224384,OPERATIONAL,"hospital, point_of_interest, doctor, health, establishment",#N/A,,,THE DAWN M/S,2397,191-8198
ChIJVVUUoY49sz4R79L8YLZyULk,,Dr Shehla,24.817611,67.0059799,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,DR. AKBAR ALI,2398,191-7344
ChIJX-5Bvyk9sz4RLYE5uXgJaQA,,Ayesha Lab Diagnostics & Consultant Clinic,24.8195373,67.0100168,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,UMAR M/S,2399,191-8273
ChIJD8_r35c9sz4RXQ8ZdHHmhN8,,Australian Concept Infertility Medical Center Karachi,24.8175739,67.0231738,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,MEMON MEDICINE POINT,2400,191-9569
ChIJpY20fcA9sz4RrQMYQ7559mA,,Urgent Care Medical Center,24.8116731,67.017707,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,RITE MEDICO,2401,191-7319
ChIJeQRYIAA9sz4Ru6xTKdt41Us,,Metroville Shabbir eye hospital,24.8132,67.016,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,ANIS MEDICAL STORE.,2402,191-9444
ChIJX8qFcJo9sz4RECBbhzs2jXo,,AKU,24.8131384,67.0144742,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,ALI MEDICAL STORE,2403,191-1217
ChIJHSLVazo9sz4R1NVVJ6DU-RQ,,Dr.Illahi Bakhsc,24.8133012,67.0158733,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,HUSSANI CARDIC CENTRE,2404,191-9495
ChIJE0r-AjQ_sz4Rw97Tgy3chNk,,MediCall Home Nursing Services,24.8128257,67.0115694,OPERATIONAL,"hospital, point_of_interest, health, store, establishment",#N/A,,,WAHEED MEDICAL STORE.,2405,191-1476
ChIJVVVVFZA9sz4Rz2BxJSbwODc,,Allahi Bux Somroo Clinic,24.814604,67.0121073,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,DR. AKBAR,2406,191-5557
ChIJB_LFi489sz4RnIFzbOx41BI,,Al Khidmat Hospital,24.81296,67.008919,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,MADNI MEDICAL STORE,2407,191-8225
ChIJ48svWHQ9sz4RDtUPBGqvO3k,,Laser Inn,24.8139691,67.0213687,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,UNIVERSAL MEDICAL STORE,2408,191-5104
ChIJR2FfLOs9sz4Rk1OKzTrv-F8,,Shop and Save Pharmacy,24.8148008,67.0210567,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,AL-MASIHA CHEMIST,2409,191-9773
ChIJdSV4RLg9sz4RjcRAv21nYDE,,Laser Vision Centre,24.8263524,67.0325614,OPERATIONAL,"hospital, doctor, health, point_of_interest, establishment",#N/A,,,S.M CARDIC CENTAR,2410,191-8042
