Place ID,Business Name,Latitude,Longitude,Status,Category
ChIJCdDy-CE_sz4RD94drC6L7Dg,Surhan Medical Center,24.9063723,67.0706173,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ2aiatjY_sz4RyaY9VSWj5hc,Omair Sana Welfare Foundationعمیر ثناء فاؤنڈیشن,24.91665249999999,67.0780134,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ0aM7a7s_sz4RIQhXl3f4sX4,AS CABLE NETWORK,24.91182929999999,67.0657524,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJxeLk8DI_sz4RYUxR4MYn298,Family Health Clinic (Dr. Rubina Faisal),24.9140813,67.06303989999999,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJB-bNIwA_sz4RPvz8cpY_Yzc,Qureshi Health System,24.91538809999999,67.06639779999999,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJdZ7G0-Y_sz4RoMPIs7jvUjg,Memon Diabatic and Digonastic Center Gulshan-E-Iqbal,24.9100434,67.0720874,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJyxLuXiI_sz4Rv0bVtTKGA4s,Rida Medical Centre,24.9095962,67.07215959999999,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJn6w3EIA_sz4Ro_SbRqWjhrA,Shakaib Dental & Orthodontic Clinic,24.91014819999999,67.0726111,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJgS_jDQA_sz4Rcl-6-UJC3Ic,Karachi Emergency & Medical Centre,24.9059135,67.0696919,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJR_Cx7TI_sz4RvHB2JJAsAfc,Neuro Mind Hospital,24.9186107,67.09105459999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJfTyKIik_sz4RjSLdKAAPo_4,Ashfaq Memorial Hospital,24.9092117,67.0845978,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJg0wYAow_sz4RnmDg0JNVQ5o,NASIR CLINIC,24.9109881,67.075502,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJe3WuqzE_sz4RDhSdeL77vb0,Gulshan Medical Complex گُلشن میڈیکل کَمپلیکس,24.9121096,67.0788956,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJQXKzEgA_sz4RXdoXfsnrwMY,Alkhidmat Medical Center Madina Colony,24.913044,67.0786377,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ____PzA_sz4REeqnW_bl3wA,Dawam Healthcare,24.9126195,67.0801542,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ45O2Feo_sz4RLA4lxNYppjg,WAPDA KPI DISPENSARY KARACHI,24.9071643,67.0774857,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ7f4kLSU_sz4RHX6NAW7H-2w,Osama Medical Centre,24.9137526,67.079819,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJuX8p0zo_sz4R4q-uQC9PBWM,"EPI Center, Vaccination Center, Usama Medical Centre and dental clinic",24.9138182,67.07982919999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJLy1EMsQ_sz4RGp4gyGE9glA,Gp Zone,24.9066309,67.07824339999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
