Place ID,Business Name,Latitude,Longitude,Status,Category
ChIJCdDy-CE_sz4RD94drC6L7Dg,Surhan Medical Center,24.9063723,67.0706173,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ2aiatjY_sz4RyaY9VSWj5hc,Omair Sana Welfare Foundationعمیر ثناء فاؤنڈیشن,24.91665249999999,67.0780134,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ0aM7a7s_sz4RIQhXl3f4sX4,AS CABLE NETWORK,24.91182929999999,67.0657524,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJxeLk8DI_sz4RYUxR4MYn298,Family Health Clinic (Dr. Rubina Faisal),24.9140813,67.06303989999999,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJB-bNIwA_sz4RPvz8cpY_Yzc,Qureshi Health System,24.91538809999999,67.06639779999999,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJdZ7G0-Y_sz4RoMPIs7jvUjg,Memon Diabatic and Digonastic Center Gulshan-E-Iqbal,24.9100434,67.0720874,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJR_Cx7TI_sz4RvHB2JJAsAfc,Neuro Mind Hospital,24.9186107,67.09105459999999,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJfTyKIik_sz4RjSLdKAAPo_4,Ashfaq Memorial Hospital,24.9092117,67.0845978,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJg0wYAow_sz4RnmDg0JNVQ5o,NASIR CLINIC,24.9109881,67.075502,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJe3WuqzE_sz4RDhSdeL77vb0,Gulshan Medical Complex گُلشن میڈیکل کَمپلیکس,24.9121096,67.0788956,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ45O2Feo_sz4RLA4lxNYppjg,WAPDA KPI DISPENSARY KARACHI,24.9071643,67.0774857,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJvQ3oHDQ_sz4RVdHbbErNZMY,Samdani Hospital,24.9216954,67.0884593,OPERATIONAL,"hospital, doctor, health, point_of_interest, establishment"
ChIJv0DbBtU_sz4R62jPTAgEE6E,Roshan Homeo Clinic,24.9222907,67.0758652,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJFXxffiE_sz4RGcdSaOl5buE,A-1 Shamim Compund,24.9176106,67.0771583,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJebdq0Mw_sz4RsM0tEVReAdg,One Health Laboratory-Gulshan e Shamim,24.9173357,67.07582339999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJSd7828w4sz4RHdBp0Y_jGfU,Shan Hospital,24.9191127,67.0955078,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ1a4xinc_sz4RJF3QJhAoEcQ,Herbalist AliAzam Treatment Center Gulshan e Iqbal Karachi,24.9112235,67.086967,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJoZn0ILc4sz4RwdVbijpYOrc,Mother And Child Clinic,24.9331818,67.10312619999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJNYS4NsY4sz4RC_Iwe7spUYo,The Modern Hospital,24.9260777,67.1072362,OPERATIONAL,"hospital, health, point_of_interest, establishment"
