Place ID,Brick Name,Business Name,Latitude,Longitude,Type,Status,Address,Rating,User Ratings
ChIJUwwlIfxVGDkRps_w3HgLtK0,SHALIMAR LINK ROAD,Salman Medical Store,31.3520638,74.12804469999999,pharmacy,OPERATIONAL,"Raiwind Rd, Sundar Sharif, Sundar",3.7,3
ChIJBVRStrpVGDkRkh0P_wUKbt8,SHALIMAR LINK ROAD,Mian Drug Store - Dr Yar Muhammad,31.3530292,74.127434,pharmacy,OPERATIONAL,"943G+6X7, Sundar Raiwind Rd, Sundar Sharif, Sundar",0.0,0
ChIJsYh2zX6rGTkRMjvAOtwvT7g,SERVAID,Gillani Medical Store,31.3388873,74.2366588,pharmacy,OPERATIONAL,"86QP+HM3, Kot Araian - Jia Bagga Rd, Kot Araian, Lahore",5.0,1
ChIJXQvycgCrGTkReOfTvLaBUfM,SERVAID,Touheed medical store,31.3363762,74.2360595,pharmacy,OPERATIONAL,"86PP+HC3, Raiwind Rd, Kot Araian, Lahore",0.0,0
ChIJSZBLVMyrGTkRYJlSeh_BnMY,SERVAID,AAS CLINIX PHARMACY,31.3381248,74.2364487,pharmacy,OPERATIONAL,"Kot Arriyan, Raiwind Rd, Kot Araian, Lahore",0.0,0
ChIJ64eFzrYBGTkRs4GIjSMdgo0,SERVAID,Multicare pharmacy,31.3384082,74.23656340000001,pharmacy,OPERATIONAL,"Raiwind Rd, Kot Araian, Lahore",4.0,4
ChIJncaMutyqGTkR_VRIy128odQ,SERVAID,Sher e Rabbani Pharmacy,31.3371681,74.2364862,pharmacy,OPERATIONAL,"86PP+VH9, Raiwind Rd, Kot Araian, Lahore",4.0,3
ChIJ7Xzx8MlTGDkRiXWY7UPNJxE,THOKAR NIAZ BAIG,Noor eye hospital,31.24654779999999,74.206792,hospital,OPERATIONAL,"Bus Station, Manga - Raiwind Road, Raiwind",3.5,8
ChIJD6Nd-whTGDkREl4t2hH0lpg,THOKAR NIAZ BAIG,Sohaib Pharmacy,31.2252755,74.2010942,pharmacy,OPERATIONAL,"66G2+4C9, Babliana ottar, road, near government elementary school, Raiwind, Kot Radha Kishan",0.0,0
ChIJXSVdEINTGDkRC9LMw1xhOpE,THOKAR NIAZ BAIG,Nomi mart & general store,31.2280602,74.19024379999999,pharmacy,OPERATIONAL,"65HR+646, Pattoki - Raiwind Rd, Raiwind",0.0,0
ChIJm3R-DhJVGDkRvxxHrYaOu-0,MOZANG,Euro Pharmacy,31.3096709,74.1637394,pharmacy,OPERATIONAL,"Adda, 1 Jati umrah, road, Mull",0.0,0
ChIJoQjD6-tVGDkRK3zGS9vnU5I,MOZANG,Simz Pharmaceuticals,31.2933735,74.1641736,pharmacy,OPERATIONAL,"75V7+8MV, Sundar Industrial Estate, Lahore",3.3,7
